[LIBGPUSPATIAL] [ 52915][11:00:16:949314][info  ] Initializing GpuSpatialRuntime on device 0, PTX root /mnt/data/sedona-db/target/release/build/sedona-libgpuspatial-49614f8a870dbe66/out/share/gpuspatial/shaders
[LIBGPUSPATIAL] [ 52915][11:00:17:110216][info  ] Init Memory Manager
[LIBGPUSPATIAL] [ 52915][11:00:17:110405][info  ] Creating RMM pool memory resource with size 22511 MB
[LIBGPUSPATIAL] [ 52915][11:00:17:156020][info  ] Initialize RTEngine
[LIBGPUSPATIAL] [ 52915][11:00:17:282367][info  ] Create RTSpatialIndex 0x74c8d908e130, fast_build = 0, compact = 0, concurrency = 1
[LIBGPUSPATIAL] [ 52915][11:00:17:285146][info  ] Create RTSpatialRefiner 0x74c8db5a7550, fast_build = 0, compact = 0, parsing_threads = 8, concurrency = 1, pipeline_batches = 1, wkb_parser_memory_quota = 0.80, relate_engine_memory_quota = 0.80
[LIBGPUSPATIAL] [ 52915][11:00:17:516276][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. PushBuild: 111.20 ms, FinishBuilding: 0.01 ms
[LIBGPUSPATIAL] [ 52915][11:00:17:516310][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), FinishBuilding Refiner, Total geoms: 6000000
[LIBGPUSPATIAL] [ 52915][11:00:17:516324][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), PushBuild, Rectangles 6000000
[LIBGPUSPATIAL] [ 52915][11:00:17:530680][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), FinishBuilding Index on Points, Total geoms: 6000000
[LIBGPUSPATIAL] [ 52915][11:00:17:530707][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. PushBuild: 7.34 ms, FinishBuilding: 7.02 ms
[LIBGPUSPATIAL] [ 52920][11:00:17:599008][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 2 MB, capacity 325005
[LIBGPUSPATIAL] [ 52920][11:00:17:600871][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 13740, Results: 325005
[LIBGPUSPATIAL] [ 52920][11:00:17:600908][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.08 ms, Prepare: 0.60 ms, RT: 4.90 ms, Copy res: 1.42 ms
[LIBGPUSPATIAL] [ 52920][11:00:17:616947][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 13740, Loaded 2689, Type MultiPolygon
[LIBGPUSPATIAL] [ 52920][11:00:17:617090][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 325005 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52920][11:00:17:646258][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 15.23 ms, Refine: 28.94 ms, Copy Results: 0.31 ms
[LIBGPUSPATIAL] [ 52920][11:00:17:760586][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 6 MB, capacity 815600
[LIBGPUSPATIAL] [ 52920][11:00:17:764332][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 12276, Results: 815600
[LIBGPUSPATIAL] [ 52920][11:00:17:764368][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.09 ms, Prepare: 0.49 ms, RT: 0.77 ms, Copy res: 3.33 ms
[LIBGPUSPATIAL] [ 52920][11:00:17:779711][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 12276, Loaded 2431, Type MultiPolygon
[LIBGPUSPATIAL] [ 52920][11:00:17:779987][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 815600 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52920][11:00:17:785870][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 13.83 ms, Refine: 5.70 ms, Copy Results: 0.42 ms
[LIBGPUSPATIAL] [ 52920][11:00:17:981783][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 4 MB, capacity 617528
[LIBGPUSPATIAL] [ 52920][11:00:17:983073][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 13740, Results: 617528
[LIBGPUSPATIAL] [ 52920][11:00:17:983102][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.10 ms, Prepare: 0.50 ms, RT: 0.78 ms, Copy res: 0.86 ms
